                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7261,                 6.2784,                  2.867,                0.00679,                0.47224,                0.00972,                 0.0027,                 2.4762,                 3.8263,                 1.9365,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.6863,                 3.6101,                 1.3244,                0.04017,                 0.7129,                0.04964,                0.03377,                  1.161,                 2.7707,                 1.1283,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.3215,                  3.043,                 1.1117,                0.06514,                0.56099,                0.09227,                0.06655,                 1.0864,                 2.9292,                 1.0544,              0.0097946,              0.0097946,              0.0097946
                      4,                 1.1287,                 2.6631,                 1.0248,                 0.1922,                0.44779,                0.21951,                0.15964,                0.99148,                 2.1959,                 1.0011,               0.009703,               0.009703,               0.009703
                      5,                0.99121,                 2.2898,                0.97243,                 0.2795,                0.65079,                0.37533,                0.31139,                 0.6881,                 1.8222,                0.90216,               0.009604,               0.009604,               0.009604
                      6,                0.89998,                 1.9764,                0.94475,                0.37961,                0.65996,                0.48552,                0.40314,                0.68431,                 1.6098,                0.90938,               0.009505,               0.009505,               0.009505
                      7,                0.84706,                 1.7179,                0.92831,                0.55769,                0.78499,                0.73603,                0.61426,                0.68724,                 1.2525,                0.90459,               0.009406,               0.009406,               0.009406
                      8,                0.80144,                 1.4523,                0.91463,                0.78309,                0.83277,                0.90171,                0.78263,                0.57412,                0.89739,                0.87677,               0.009307,               0.009307,               0.009307
                      9,                0.76539,                 1.2188,                0.90526,                0.86194,                0.89205,                0.96124,                0.84276,                0.54539,                0.75072,                0.86488,               0.009208,               0.009208,               0.009208
                     10,                0.74248,                 1.0547,                0.89774,                0.90007,                0.90694,                0.97419,                0.86054,                0.52172,                0.63834,                0.85868,               0.009109,               0.009109,               0.009109
                     11,                 0.7174,                0.93968,                 0.8899,                0.94541,                0.93702,                0.98931,                0.87182,                0.52721,                0.54488,                0.85887,                0.00901,                0.00901,                0.00901
                     12,                0.68914,                0.85156,                0.88227,                0.96417,                0.97504,                0.99209,                0.88861,                0.48755,                0.47198,                0.84639,               0.008911,               0.008911,               0.008911
                     13,                0.66846,                0.77829,                0.87684,                0.97888,                0.98212,                 0.9937,                0.89217,                0.48018,                 0.4338,                0.84488,               0.008812,               0.008812,               0.008812
                     14,                 0.6541,                0.73896,                0.87413,                0.97968,                0.98398,                0.99372,                0.90209,                0.44519,                0.40981,                0.83807,               0.008713,               0.008713,               0.008713
                     15,                0.63504,                0.68279,                0.86958,                0.98921,                0.98954,                0.99432,                0.90286,                0.44691,                0.38746,                 0.8363,               0.008614,               0.008614,               0.008614
                     16,                0.62328,                  0.663,                0.86553,                0.98651,                0.99094,                0.99414,                0.90752,                 0.4289,                0.37342,                0.83405,               0.008515,               0.008515,               0.008515
                     17,                 0.5969,                0.62352,                0.85865,                0.98699,                 0.9902,                0.99419,                0.91245,                0.42294,                0.36329,                0.83146,               0.008416,               0.008416,               0.008416
                     18,                0.59253,                0.60184,                 0.8564,                0.98894,                0.99015,                0.99463,                0.91426,                0.41765,                0.35527,                0.82782,               0.008317,               0.008317,               0.008317
                     19,                0.58005,                0.57918,                0.85342,                0.99154,                0.99467,                 0.9944,                0.91897,                0.39429,                0.32429,                0.82065,               0.008218,               0.008218,               0.008218
                     20,                0.55701,                0.55786,                0.85057,                0.99467,                0.99404,                0.99468,                0.92874,                0.37908,                0.31476,                0.81964,               0.008119,               0.008119,               0.008119
                     21,                0.55401,                0.54407,                0.84828,                0.99594,                0.99428,                0.99477,                0.92652,                0.38276,                0.30597,                0.81884,                0.00802,                0.00802,                0.00802
                     22,                0.54508,                 0.5234,                0.84565,                0.99165,                0.99526,                0.99467,                0.92726,                0.38244,                0.31175,                0.81914,               0.007921,               0.007921,               0.007921
